token;sentiment
sinn; 0,0040
solidarität; 0,0040
sorgfältigkeit; 0,0040
sorglosigkeit; 0,0040
sparsamkeit; 0,0040
spaß; 0,2823
spende; 0,0040
spezialität; 0,0040
sprung; 0,0040
stabilität; 0,0040
standhaftigkeit; 0,0040
stattlichkeit; 0,0040
steigerung; 0,0040
steigflug; 0,0040
stifter; 0,0040
stiftung; 0,0040
stil; 0,3398
stimulation; 0,0040
stolz; 0,0797
stärke; 0,0040
stütze; 0,0040
subvention; 0,0040
suchtfaktor; 0,0040
superlativ; 0,0040
symbiose; 0,0040
sympathie; 0,0040
talent; 0,3352
toleranz; 0,0040
tradition; 0,0040
treue; 0,2019
triumph; 0,0040
trophäe; 0,0040
trost; 0,0706
umbruch; 0,0040
unabhängigkeit; 0,0040
unbesiegbarkeit; 0,0040
unerschrockenheit; 0,0040
unfehlbarkeit; 0,0040
unparteilichkeit; 0,0040
unschuld; 0,0040
unsterblichkeit; 0,0040
unterstützung; 0,0040
unverwundbarkeit; 0,0040
unverzichtbarkeit; 0,0040
unwiderstehlichkeit; 0,0040
upgrade; 0,0040
verantwortung; 0,0040
verband; 0,0040
verbesserung; 0,0040
verbund; 0,0040
verbundenheit; 0,0040
verbündete; 0,0040
verdienst; 0,0040
veredelung; 0,0040
verehrung; 0,0040
vereinbarung; 0,0040
vereinfachung; 0,0040
vereinigung; 0,0040
vererbung; 0,0040
verfeinerung; 0,0040
vergebung; 0,0040
vergrößerung; 0,0040
vergötterung; 0,0040
verhandelung; 0,0040
verlobung; 0,0040
verlöbnis; 0,0040
vermittlung; 0,0040
vernunft; 0,0040
verschönerung; 0,0040
versicherung; 0,0040
versprechen; 0,0040
verstand; 0,0040
verständnis; 0,0040
verstärkung; 0,0040
versöhnung; 0,0040
verteidiger; 0,0040
verteidigung; 0,0040
vertrag; 0,0040
vertrauen; 0,3512
vertrauenswürdigkeit; 0,0040
vertrauter; 0,0040
vertrautheit; 0,0040
verwendbarkeit; 0,0040
verwirklichung; 0,0040
vielseitigkeit; 0,0040
vielzahl; 0,0040
visionär; 0,0040
vitalität; 0,0040
vollständigkeit; 0,0040
vorbereitung; 0,0040
vorsicht; 0,0040
vorsorge; 0,0040
vorteil; 0,0040
wachsamkeit; 0,0040
wachstum; 0,0040
wahrheit; 0,0040
weichheit; 0,0040
weisheit; 0,0040
weitsichtigkeit; 0,0040
wert; 0,0040
wertschätzung; 0,0040
wertsteigerung; 0,0040
widerstandsfähigkeit; 0,0040
wiederbelebung; 0,0040
wiedergutmachung; 0,0040
wiederherstellung; 0,0040
wiederkehr; 0,0040
wiedervereinigung; 0,0040
wille; 0,0040
wirksamkeit; 0,0040
wissen; 0,0040
witz; 0,0040
wohlergehen; 0,0040
wohlgefallen; 0,0040
wohlstand; 0,0040
wohltat; 0,0040
wohltäter; 0,0040
wohltätigkeit; 0,0040
wohlwollen; 0,0040
wunder; 0,0741
wärme; 0,0040
zenit; 0,0040
ziel; 0,0040
zuflucht; 0,0040
zufriedenheit; 0,2207
zugabe; 0,0882
zugänglichkeit; 0,0040
zulage; 0,0040
zulässigkeit; 0,0040
zuneigung; 0,0040
zusammenarbeit; 0,0893
zusammengehörigkeit; 0,0040
zusammenhalt; 0,1947
zuschuß; 0,0040
zustimmung; 0,0040
zuverlässigkeit; 0,0040
zuversicht; 0,0727
abgesichert; 0,0040
abmachen; 0,0040
abschließen; 0,0040
absolut; 0,2418
abstimmen; 0,0040
abwechslungsreich; 0,5797
addieren; 0,0040
adrett; 0,1987
agil; 0,1959
akkurat; 0,0040
aktiv; 0,0911
aktualisieren; 0,0040
aktuell; 0,0040
akzeptabel; 0,0040
akzeptieren; 0,0040
allerbeste; 0,0040
allererste; 0,0040
allgemeingültig; 0,0040
allumfassend; 0,0040
anbieten; 0,0040
anerkannt; 0,0785
anerkennen; 0,0040
anerkennenswert; 0,0040
angemessen; 0,0040
angenehm; 0,4887
angesehen; 0,0040
anheben; 0,0040
anheitern; 0,0040
ankurbeln; 0,0040
anlocken; 0,0040
annehmbar; 0,0040
annähern; 0,0040
anpassen; 0,0040
anpassungsfähig; 0,0799
anreichern; 0,0040
ansehnlich; 0,0931
ansprechend; 0,3382
anspruchsvoll; 0,2216
ansteigen; 0,0040
anständig; 0,0977
anteilig; 0,0040
anvertrauen; 0,0040
anziehen; 0,0040
applaudieren; 0,0040
artig; 0,2250
atemberaubend; 0,3261
attraktiv; 0,2162
aufbereiten; 0,0040
aufbessern; 0,0040
aufblühen; 0,0845
auferstehen; 0,0040
aufmerksam; 0,0040
aufmuntern; 0,0040
aufmunternd; 0,0040
aufrecht; 0,0040
aufrichtig; 0,0040
aufschwingen; 0,0040
aufsteigen; 0,0040
aufstocken; 0,0040
auftreiben; 0,0040
aufwendig; 0,0040
aufwerten; 0,0040
aufwärts; 0,0040
ausbauen; 0,0040
ausbilden; 0,0040
ausdauern; 0,0040
ausführlich; 0,0040
ausgeflippt; 0,0756
ausgeglichen; 0,0987
ausgeweitet; 0,0040
ausgewogen; 0,2060
ausgewählt; 0,0040
ausgezeichnet; 0,3146
ausgleichen; 0,0040
auskommen; 0,0040
auskurieren; 0,0040
ausreichen; 0,0040
ausreichend; 0,0040
aussichtsreich; 0,0040
ausweiten; 0,0040
auszeichnen; 0,0040
authentisch; 0,1885
autonom; 0,0040
außergewöhnlich; 0,3395
außerordentlich; 0,1137
bahnbrechend; 0,0040
barmherzig; 0,0744
beachtenswert; 0,0040
beachtlich; 0,0040
beauftragen; 0,0040
bedarfsgerecht; 0,0040
bedarfsorientiert; 0,0040
bedarft; 0,0040
bedenken; 0,0040
bedeuten; 0,0040
bedeutend; 0,0040
bedeutsam; 0,0040
beeindrucken; 0,2126
beeindruckend; 0,3408
befreien; 0,0040
befriedigen; 0,0809
befriedigend; 0,2152
befördern; 0,0040
begehrt; 0,0040
begeistern; 0,4324
beglückend; 0,0040
begnadet; 0,0040
begnadigen; 0,0040
begünstigen; 0,0040
behaglich; 0,2007
beheben; 0,0040
beheizbar; 0,0040
beherrscht; 0,4635
behutsam; 0,0040
behütet; 0,0040
beilegen; 0,0040
beispielhaft; 0,0040
beisteuern; 0,0040
beitragen; 0,0040
beitreten; 0,0040
bejubelt; 0,0040
bekannt; 0,0040
bekennend; 0,0040
bekräftigen; 0,0040
belastbar; 0,0040
beleben; 0,0040
belehrbar; 0,0040
beliebt; 0,2172
belohnen; 0,0893
bemerkenswert; 0,4515
beneidenswert; 0,0040
bequem; 0,2344
berauschend; 0,0809
bereichern; 0,0718
bereit; 0,0040
bereitstellen; 0,0040
beruhigen; 0,0040
beruhigend; 0,2133
berühmt; 0,3267
bescheiden; 0,0956
beschleunigen; 0,0040
beschwichtigen; 0,0040
besitzen; 0,0040
besondere; 0,0040
besonders; 0,5391
besonnen; 0,0040
besser; 0,0040
bessern; 0,0040
bestehen; 0,0040
bestens; 0,0808
bestmöglich; 0,0040
bestätigen; 0,0854
beteiligen; 0,0040
beträchtlich; 0,0040
bevorzugt; 0,0040
bewegend; 0,0040
bewirken; 0,0040
bewundern; 0,0040
bewundernswert; 0,0823
bewundert; 0,0040
bewährt; 0,4650
bezaubernd; 0,3081
blendend; 0,3096
blühen; 0,2028
bombastisch; 0,2053
bombig; 0,0837
boomen; 0,0040
brandneu; 0,0040
bravourös; 0,0040
breitgefächert; 0,0040
brillant; 0,3064
brilliant; 0,1830
brillieren; 0,0040
brüderlich; 0,0040
bunt; 0,3507
bärenstark; 0,0040
charakterstark; 0,0040
charismatisch; 0,0040
charmant; 0,3223
chic; 0,0787
clever; 0,2243
cool; 0,0040
dankbar; 0,0854
danken; 0,1910
dauerhaft; 0,2050
denkwürdig; 0,0040
detailliert; 0,0040
dienlich; 0,0040
diplomatisch; 0,0040
diskret; 0,0040
diszipliniert; 0,0040
dufte; 0,1958
duften; 0,2132
durchdacht; 0,2131
durchhalten; 0,0040
durchschlagend; 0,0040
dynamisch; 0,0040
edel; 0,2235
effektiv; 0,0971
effektvoll; 0,0040
effizient; 0,0040
ehren; 0,0612
ehrenwert; 0,0040
ehrfürchtig; 0,0040
ehrgeizig; 0,2076
ehrlich; 0,1212
ehrwürdig; 0,0040
eifern; 0,0040
eifrig; 0,0040
eignen; 0,1006
eindeutig; 0,0040
eindrucksvoll; 0,3001
einfach; 0,0040
einfallsreich; 0,2031
einflußreich; 0,0040
einflussreich; 0,0040
einhalten; 0,0040
einheitlich; 0,0040
einkaufen; 0,2249
einmalig; 0,3137
einnehmen; 0,0040
einsparen; 0,0040
einträglich; 0,0040
einwandfrei; 0,0949
einweihen; 0,0040
einzigartig; 0,3078
elegant; 0,2115
empathisch; 0,0040
empfehlen; 0,0040
empfehlenswert; 0,0930
energisch; 0,0040
engagieren; 0,0040
engagiert; 0,0869
enorm; 0,0898
enthusiastisch; 0,0040
entlasten; 0,0040
entlohnen; 0,0040
enträtseln; 0,0040
entschlossen; 0,0040
entschlüsseln; 0,0040
entschädigen; 0,0040
entspannen; 0,2406
entwirren; 0,0040
entzückend; 0,0844
epochal; 0,0040
erarbeiten; 0,0040
erben; 0,0040
erfahren; 0,0927
erfolgreich; 0,2193
erfreuen; 0,2112
erfreulich; 0,2197
erfrischend; 0,2227
erfüllen; 0,0040
ergebnisreich; 0,0040
ergiebig; 0,0040
ergänzen; 0,2074
erhalten; 0,0040
erhebend; 0,0040
erheblich; 0,0040
erholen; 0,2357
erholsam; 0,2188
erhältlich; 0,0040
erhöhen; 0,0040
erkennbar; 0,0040
erklimmen; 0,0040
erklärt; 0,0040
erlauben; 0,0040
erleichtern; 0,0040
erleuchten; 0,0040
erlösen; 0,0040
ermunternd; 0,0040
ermutigen; 0,0040
ermutigend; 0,0735
ermöglichen; 0,0040
erneuern; 0,0040
ernsthaft; 0,0040
erreichen; 0,0040
erschaffen; 0,0040
erschlossen; 0,0040
ersprießlich; 0,0040
erstaunen; 0,0040
erstaunlich; 0,0040
erstklassig; 0,1967
erstrangig; 0,0040
erstrebenswert; 0,0765
ertragreich; 0,0040
erweitern; 0,0040
erweitert; 0,0040
erwünscht; 0,0040
erzeugen; 0,0040
erzielen; 0,0040
etabliert; 0,0040
euphorisch; 0,5505
exakt; 0,0040
exklusiv; 0,0040
exorbitant; 0,0040
exotisch; 0,1944
explosiv; 0,0040
exponiert; 0,0040
exquisit; 0,0040
extravagant; 0,0040
exzellent; 0,4198
fabelhaft; 0,1952
fair; 0,3281
famos; 0,2018
fantasievoll; 0,0040
fantastisch; 0,3319
faszinieren; 0,0663
faszinierend; 0,3037
favorisieren; 0,0040
fehlerfrei; 0,0040
feiern; 0,4940
fein; 0,4734
fertig; 0,3757
fertigen; 0,0040
fesch; 0,0806
fesselnd; 0,0040
festlich; 0,2021
fidel; 0,0040
finanzieren; 0,0040
findig; 0,0040
fit; 0,3686
fleißig; 0,3571
flexibel; 0,0040
flink; 0,0878
florieren; 0,0040
flott; 0,3394
flüssig; 0,2229
formvollendet; 0,0040
fortdauernd; 0,0040
fortschreiten; 0,0040
frei; 0,0040
freikommen; 0,0040
freisprechen; 0,0040
freiwillig; 0,0040
freudig; 0,3256
freuen; 0,2198
freundlich; 0,6022
freundschaftlich; 0,0040
friedlich; 0,0924
friedvoll; 0,0908
froh; 0,1364
frohlocken; 0,0040
fruchtbar; 0,0878
fröhlich; 0,2501
fulminant; 0,0040
funkeln; 0,0040
funktionieren; 0,0040
funktionierend; 0,2022
funktionsfähig; 0,0040
furchtlos; 0,0040
fähig; 0,0040
fördern; 0,0040
führen; 0,0040
führend; 0,0040
füllen; 0,0040
galant; 0,0040
garantiert; 0,0040
gastfreundlich; 0,0854
gedeihen; 0,2166
gedeihlich; 0,0040
gediegen; 0,0831
geduldig; 0,3342
geeignet; 0,0974
gefallen; 0,2578
gefeiert; 0,3403
gefesselt; 0,0040
gefestigt; 0,0040
gefragt; 0,0040
geglückt; 0,0040
gehorsam; 0,0040
gehörig; 0,0040
geil; 0,0040
gelassen; 0,2325
geliebt; 0,2315
gelohnt; 0,5859
gelungen; 1,0000
gemeinsam; 0,0040
gemeinschaftlich; 0,0040
gemütlich; 0,3680
genau; 0,0040
genehm; 0,0040
genehmigen; 0,0040
genesen; 0,0040
genial; 0,2156
genießbar; 0,0040
genießen; 0,4983
genügend; 0,1019
geordnet; 0,0936
gepflegt; 0,3499
gerecht; 0,0040
gerechtfertigt; 0,0040
geruhsam; 0,0769
geräumig; 0,1008
gerührt; 0,4460
geschickt; 0,0040
geschmackvoll; 0,2116
geschäftig; 0,0040
geschätzt; 0,0040
gesteigert; 0,0040
gestiegen; 0,0040
gesund; 0,1554
getreu; 0,0040
gewachsen; 0,1201
gewaltfrei; 0,0040
gewaltig; 0,0040
gewichtig; 0,0040
gewinnbringend; 0,0040
gewinnen; 0,0040
gewissenhaft; 0,0040
gewährleisten; 0,0040
gewünscht; 0,0040
gezielt; 0,0040
gigantisch; 0,5459
glamourös; 0,0040
glanzvoll; 0,0040
glasklar; 0,0040
glatt; 0,1099
glaubwürdig; 0,0893
gleichstellen; 0,0040
gleichwertig; 0,0040
glorios; 0,0040
glorreich; 0,0040
glänzen; 0,3397
glänzend; 0,2082
glücklich; 0,1150
glühend; 0,0040
gnädig; 0,0040
golden; 0,0040
goldig; 0,1991
grandios; 0,1843
gratulieren; 0,0650
gravierend; 0,0040
greifbar; 0,0886
grenzenlos; 0,0040
groß; 0,3694
großartig; 0,4606
großspurig; 0,0040
großzügig; 0,2077
grundlegend; 0,0040
grundsätzlich; 0,0040
größtmöglich; 0,0040
gründlich; 0,0040
gut; 0,3716
gutgehend; 0,0040
gönnen; 0,3387
göttlich; 0,0040
gültig; 0,0040
günstig; 0,0946
gütig; 0,0040
gütlich; 0,0040
handfest; 0,0040
handlich; 0,2025
harmonisch; 0,3489
harmonisieren; 0,0828
hartnäckig; 0,0040
hauptsächlich; 0,0040
heben; 0,2219
heil; 0,3414
heilen; 0,0040
heilig; 0,0727
heilsam; 0,2007
heiraten; 0,0040
heiter; 0,2013
heiß; 0,3557
helfen; 0,3730
hell; 0,2350
heranwachsen; 0,0867
heraufsetzen; 0,0040
herausgehoben; 0,0040
herausragen; 0,0040
herrlich; 0,4821
herrschaftlich; 0,0040
hervorragend; 0,5891
herzig; 0,0040
herzlich; 0,0040
hilfreich; 0,0926
hilfsbereit; 0,3377
himmlisch; 0,2088
hinausgehend; 0,0040
hingeben; 0,0762
hinhauen; 0,0040
hinreichend; 0,0040
hinreißend; 0,0841
hinterlassen; 0,0040
hinzufügen; 0,0040
hinzunehmen; 0,0040
historisch; 0,0040
hoch; 0,0040
hochattraktiv; 0,0040
hochgestellt; 0,0040
hochgradig; 0,0040
hochhalten; 0,0040
hochheben; 0,0040
hochkarätig; 0,0040
hochklassig; 0,0040
hochrangig; 0,0040
hochtreibend; 0,0040
hochwertig; 0,0849
hoffen; 0,2318
hoffnungsfroh; 0,0040
hoffnungsvoll; 0,1853
human; 0,0040
humanitär; 0,0040
humorvoll; 0,3170
hundertprozentig; 0,0796
höchstmöglich; 0,0040
höflich; 0,0040
hörenswert; 0,0040
hübsch; 0,4629
ideal; 0,0937
idyllisch; 0,0040
illuster; 0,0040
immens; 0,0040
imponierend; 0,0040
imposant; 0,0040
inbrünstig; 0,0040
individuell; 0,0040
ingeniös; 0,0040
innovativ; 0,3302
inspirieren; 0,0040
inspirierend; 0,0786
intakt; 0,0040
integer; 0,0040
integrieren; 0,0908
intelligent; 0,1238
intensiv; 0,0040
interessant; 0,2488
interessieren; 0,0040
interessiert; 0,0040
investieren; 0,0040
jubeln; 0,0756
kinderleicht; 0,0040
klaglos; 0,0040
klar; 0,0040
klasse; 0,3474
klassisch; 0,0040
klettern; 0,4570
klimatisiert; 0,0040
klug; 0,3532
klären; 0,0040
knorke; 0,0040
knuddelig; 0,2086
knuffig; 0,0974
kollegial; 0,0809
komfortabel; 0,0800
kommod; 0,0040
kommunikativ; 0,0040
kompatibel; 0,0040
kompensieren; 0,0040
kompetent; 0,0789
komplett; 0,0040
konfliktfrei; 0,0040
kongenial; 0,0040
konkret; 0,0040
konkurrenzfähig; 0,0040
konsequent; 0,0040
konsistent; 0,0040
konsolidieren; 0,0040
konstant; 0,0870
konstruktiv; 0,0894
konsultieren; 0,0040
kontinuierlich; 0,0040
konzertiert; 0,0040
kooperativ; 0,0040
kooperieren; 0,0040
koordinieren; 0,0040
koordiniert; 0,0040
korrekt; 0,0040
kostbar; 0,0777
kostengünstig; 0,0040
kostenlos; 0,0040
kraftvoll; 0,2214
kreativ; 0,5865
kritisch; 0,0040
kräftig; 0,2408
kulant; 0,0040
kultiviert; 0,0731
kunstreich; 0,0040
kunstvoll; 0,0040
kurieren; 0,0040
kümmern; 0,2016
künstlerisch; 0,0040
lachen; 0,0135
langlebig; 0,2026
lautstark; 0,0040
lebendig; 0,0947
lebensfähig; 0,0040
lebhaft; 0,2146
legal; 0,0040
legendär; 0,0040
legitim; 0,0040
leicht; 0,0040
leidenschaftlich; 0,1988
leistungsfähig; 0,3222
leistungsstark; 0,0040
lernen; 0,2492
leuchtend; 0,0821
leutselig; 0,0040
liberal; 0,0040
lieb; 0,1131
liebenswert; 0,2077
liebenswürdig; 0,2001
liebevoll; 0,4657
lindern; 0,0040
loben; 0,4445
lobenswert; 0,0821
locker; 0,2381
logisch; 0,0936
lohnen; 0,0040
lohnend; 0,1875
loyal; 0,0040
lukrativ; 0,0040
luxuriös; 0,0835
lächeln; 0,3399
lässig; 0,2095
löblich; 0,0040
lösen; 0,0040
lückenlos; 0,0040
magisch; 0,0040
majestätisch; 0,0730
makellos; 0,2000
malerisch; 0,0753
markant; 0,1935
massiv; 0,0040
maximal; 0,0040
maximieren; 0,0040
meisterhaft; 0,0040
meisterlich; 0,0040
menschenwürdig; 0,0040
menschlich; 0,3324
messbar; 0,0040
mild; 0,3303
miteinander; 0,3697
mitfühlen; 0,0922
mitmenschlich; 0,0040
mobil; 0,0040
mobilisieren; 0,0040
modern; 0,2287
modernisieren; 0,0040
mondän; 0,0040
monumental; 0,0040
moralisch; 0,0040
motivieren; 0,2248
motiviert; 0,3541
mustergültig; 0,0040
mutig; 0,3435
mächtig; 0,2277
mögen; 0,3450
möglich; 0,0040
mühelos; 0,0040
nachahmenswert; 0,0818
nachhaltig; 0,0040
nah; 0,2267
namhaft; 0,0040
nennenswert; 0,0040
nett; 0,1405
neu; 0,0040
niedlich; 0,0987
nutzbringend; 0,0040
nähren; 0,0040
